Stationen vom: 10.08.2015
"Stationscode";"Stationsname";"Kategorie";"Synonym";"Aktiv seit ";"Aktivitätsperiode: von ";"Aktivitätsperiode: bis";"Verlegt";"Straße";"Nr";"PLZ";"Ort";"Länge dezimal";"Breite dezimal";"Höhe";"Stationsumgebung (EoI)";"Art der Station (EoI)";"Einwohnerzahl (EoI)";"Abstand zur Straße (EoI)";"Bemerkung (EoI)";"Lokaler Code";"EMEP-Code";"O3-Klasse aus UBA FE";"NO/NO2-Klasse aus UBA FE";"Bemerkung des UBA(1)";"Bemerkung des UBA(2)";"Bemerkung des Netzbetreibers";"AEI-Station";"AEI-von";"AEI-bis";"ersetzt AEI-Station";"Amtlicher Gemeindeschlüssel (AGS)";"Gemeindenamen";"Entfernung von einer verkehrsreichen Kreuzung in Metern";"Geschätztes Verkehrsaufkommen (Anzahl der Fahrzeuge pro Tag)";"Waagrechte Entfernung vom nächsten Gebäude in Metern";"Entfernung von der nächsten Straße in Metern";"Entfernung von der wichtigsten Industriequelle in Metern";"Quelle 1 (Hauptquelle)";"Quelle 1 (Hauptquelle) - ID";"Gasförmige Schadstoffe";"Partikelförmige Schadstoffe";"Deposition";"Umweltmonitoring-Typ";
"DEBW036";"Tübingen Alter Botanischer Garten";"Luftmessstation";"";"01.01.1987";"01.01.1987";"22.01.2002";"nein";"Silcherstraße/Alter Bot. Garten";"";"72076";"Tübingen";"9,058548";"48,524401";"330";"städtisches Gebiet";"Hintergrund";"";">10-50 m";"";"TUE";"No";"VK";"ST";"verlegt zum 21.1.2002, andere I-Verhältnisse, daher Schließung eingetragen";"";"";"nein";"";"";"";"8416041";"Tübingen";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW037";"Freudenstadt";"Luftmessstation";"";"01.02.1987";"01.02.1987";"31.12.2010";"nein";"Theodor-Gerhard-Schule";"";"72250";"Freudenstadt";"8,412808";"48,472086";"755";"vorstädtisches Gebiet";"Hintergrund";"";">50-100 m";"";"FDS";"No";"LA";"ST";"";"";"";"nein";"";"";"";"8237028";"Freudenstadt";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW038";"Friedrichshafen";"Luftmessstation";"";"01.01.1987";"01.01.1987";"";"nein";"Ehlerstr./Polizeirevier";"";"88046";"Friedrichshafen";"9,485675";"47,660056";"404";"städtisches Gebiet";"Hintergrund";"";">50-100 m";"See:Bodensee,wird voraussichtlich bis Ende 2003 versetzt";"FN";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8435016";"Friedrichshafen";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBW039";"Villingen-Schwenningen";"Luftmessstation";"";"01.06.1987";"01.06.1987";"";"nein";"Unterer Dammweg";"";"78050";"Villingen-Schwenningen";"8,463597";"48,048656";"700";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"Fluss:Birgach";"VS";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8326074";"Villingen-Schwenningen";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW040";"Waldshut";"Luftmessstation";"";"01.12.1989";"01.12.1989";"31.12.2010";"ja";"Bahnhof";"";"79761";"Waldshut";"8,223147";"47,618006";"340";"vorstädtisches Gebiet";"Verkehr";"";">10-50 m";"Fluss:Rhein,Grenze zur Schweiz (S) < 2 km";"WT-L";"No";"ST";"ST";"";"";"neuer Standort ab 22.12.2006 in unmittelbarer Nähe; alte Koordinaten 3441525/5276025";"nein";"";"";"";"8337126";"Waldshut-Tiengen";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBW041";"Rheinfelden";"Luftmessstation";"";"01.05.1989";"01.05.1989";"31.12.2003";"nein";"Hardtstraße/Jahn-Stadion";"";"79618";"Rheinfelden";"7,789067";"47,563144";"285";"städtisches Gebiet";"Hintergrund";"";">1-10 m";"";"RHF";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8336069";"Rheinfelden (Baden)";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW042";"Bernhausen";"Luftmessstation";"";"01.12.1989";"01.12.1989";"";"ja";"Heubergstraße";"";"70794";"Bernhausen";"9,227769";"48,678069";"370";"vorstädtisches Gebiet";"Hintergrund";"";">1-10 m";"";"BERNH";"No";"VK";"ST";"";"";"";"nein";"";"";"";"8116077";"Filderstadt";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW044";"Mosbach";"Luftmessstation";"";"01.06.1990";"01.06.1990";"13.01.2004";"ja";"Neckarborkenerstr.";"";"74821";"Mosbach";"9,151446";"49,363820";"155";"vorstädtisches Gebiet";"Hintergrund";"";">1-10 m";"Bach:Elzbach";"MOS";"No";"ST";"ST";"unklare Adressangabe: unterschiedl. Straße in Adresse und O3-RL-ADRGE02";"";"";"nein";"";"";"";"8225058";"Mosbach";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW045";"Balingen";"Luftmessstation";"";"01.11.1990";"01.11.1990";"30.06.2000";"nein";"Hirschbergstr.";"";"72336";"Balingen";"8,854501";"48,274770";"520";"städtisches Gebiet";"Hintergrund";"";">10-50 m";"";"BL";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8417002";"Balingen";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW046";"Biberach";"Luftmessstation";"";"01.11.1990";"01.11.1990";"";"nein";"Hans-Liebherr-Straße";"";"88400";"Biberach";"9,800325";"48,089886";"534";"vorstädtisches Gebiet";"Hintergrund";"";">50-100 m";"Fluss:Riß";"BC";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8426021";"Biberach an der Riß";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW047";"Calw";"Luftmessstation";"42861 / CW";"01.12.1990";"01.12.1990";"02.04.2003";"nein";"Bahnhofstr.";"";"75365";"Calw";"8,741152";"48,710049";"332";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"42861 / CW";"No";"VK";"ST";"Parkplatz";"";"";"nein";"";"";"";"8235085";"Calw";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW048";"Ehingen";"Luftmessstation";"";"01.11.1990";"01.11.1990";"31.01.2004";"nein";"Biberacher Str.";"";"89584";"Ehingen";"9,722485";"48,278434";"530";"städtisches Gebiet";"Industrie";"";">50-100 m";"Fluss:Donau";"EH";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8425033";"Ehingen (Donau)";"";"";"";"";"";"Industrieprozesse (2)";"2";"3,5";"3,5";"";"k.A.";
"DEBW049";"Emmendingen";"Luftmessstation";"";"01.08.1990";"01.08.1990";"30.06.2000";"nein";"Areal Merck";"";"79312";"Emmendingen";"7,848926";"48,119140";"200";"städtisches Gebiet";"Hintergrund";"";">10-50 m";"";"EMM";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8316011";"Emmendingen";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW050";"Heidenheim";"Luftmessstation";"";"01.11.1990";"01.11.1990";"31.12.2003";"nein";"Ludwigstr.";"19";"89522";"Heidenheim";"10,156296";"48,663838";"480";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"wird voraussichtlich dieses Jahr abgesetzt";"HDH";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8135019";"Heidenheim an der Brenz";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW051";"Heilbronn-Mitte";"Luftmessstation";"";"25.07.1990";"25.07.1990";"16.10.1991";"nein";"Berlinerplatz";"";"74072";"Heilbronn";"9,221365";"49,145794";"160";"städtisches Gebiet";"Hintergrund";"";">50-100 m";"";"HN-M";"No";"";"";"";"";"";"nein";"";"";"";"8121000";"Heilbronn";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW052";"Konstanz";"Luftmessstation";"";"01.09.1990";"01.09.1990";"";"nein";"Zasius-/Wallgutstr.";"";"78462";"Konstanz";"9,169289";"47,664361";"403";"städtisches Gebiet";"Hintergrund";"";">1-10 m";"See: Bodensee (O, N), Gnadensee (W)";"KN";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8335043";"Konstanz";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW053";"Künzelsau";"Luftmessstation";"";"01.11.1990";"01.11.1990";"30.09.2003";"nein";"Wertwiesen";"";"74653";"Künzelsau";"9,693028";"49,279700";"214";"vorstädtisches Gebiet";"Hintergrund";"";">50-100 m";"";"KUEN";"No";"ST";"ST";"Parkplatz";"";"";"nein";"";"";"";"8126046";"Künzelsau";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW054";"Rottweil";"Luftmessstation";"";"01.10.1990";"01.10.1990";"31.12.2003";"nein";"Steinhäuserstr.";"";"78628";"Rottweil";"8,619857";"48,169689";"660";"vorstädtisches Gebiet";"Hintergrund";"";"direkt (0-1 m)";"Fluss:Neckar";"RW";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8325049";"Rottweil";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW055";"Schwäbisch Gmünd";"Luftmessstation";"";"01.11.1990";"01.11.1990";"28.10.1991";"nein";"Brandstatt";"";"73525";"Schwäbisch Gmünd";"9,796966";"48,798403";"360";"städtisches Gebiet";"Hintergrund";"";">1-10 m";"";"SGM";"No";"";"";"";"";"";"nein";"";"";"";"8136065";"Schwäbisch Gmünd";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW056";"Schwäbisch_Hall";"Luftmessstation";"";"01.01.1991";"01.01.1991";"";"nein";"Bahngelände";"";"74523";"Schwäbisch Hall";"9,733231";"49,107878";"306";"vorstädtisches Gebiet";"Hintergrund";"";"direkt (0-1 m)";"Fluss:Kocher";"SHA";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8127076";"Schwäbisch Hall";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW057";"Sigmaringen";"Luftmessstation";"";"01.10.1990";"01.10.1990";"30.06.2000";"nein";"Feuerwehrgerätehaus";"";"72488";"Sigmaringen";"9,207035";"48,086489";"580";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"SIG";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8437104";"Sigmaringen";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW058";"Singen";"Luftmessstation";"";"01.09.1990";"01.09.1990";"15.10.1991";"nein";"Mühlenstraße";"";"78224";"Singen";"8,831185";"47,761836";"440";"vorstädtisches Gebiet";"Hintergrund";"";">1-10 m";"";"SI";"No";"";"";"";"";"";"nein";"";"";"";"8335075";"Singen (Hohentwiel)";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW059";"Tauberbischofsheim";"Luftmessstation";"";"01.11.1990";"01.11.1990";"";"nein";"Kläranlage";"";"97941";"Tauberbischofsheim";"9,657919";"49,634841";"177";"vorstädtisches Gebiet";"Hintergrund";"";">100-200 m";"Fluss:Tauber, Kläranlagengelände";"TBB";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8128115";"Tauberbischofsheim";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW060";"Tuttlingen";"Luftmessstation";"";"01.11.1990";"01.11.1990";"31.12.2003";"nein";"Kanalstraße";"";"78532";"Tuttlingen";"8,807748";"47,985655";"643";"vorstädtisches Gebiet";"Hintergrund";"";">1-10 m";"Kanal:Donau-Versickerung";"TUT";"No";"ST";"ST";"verlegt Juni (?) 1999, alte Koord.: 3487000, 5316500, 640 m";"";"";"nein";"";"";"";"8327050";"Tuttlingen";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW065";"Ravensburg";"Luftmessstation";"42209 / RV";"01.08.1990";"01.08.1990";"02.04.2003";"nein";"Friedrich-Schiller-Straße";"";"88214";"Ravensburg";"9,608423";"47,777027";"435";"städtisches Gebiet";"Hintergrund";"";">10-50 m";"";"42209 / RV";"No";"VK";"ST";"";"";"";"nein";"";"";"";"8436064";"Ravensburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW066";"Leonberg Ost";"Luftmessstation";"";"02.06.1992";"02.06.1992";"05.07.1993";"nein";"Badstraße/Ecke Berliner-/Römerstraße";"";"71229";"Leonberg";"9,013272";"48,784930";"365";"vorstädtisches Gebiet";"Verkehr";"";">1-10 m";"";"LEO-O";"No";"";"";"";"";"";"nein";"";"";"";"8115028";"Leonberg";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"";"";"k.A.";
"DEBW067";"Lahr";"Luftmessstation";"";"01.07.1991";"01.07.1991";"05.11.1992";"nein";"Dreispringstraße";"";"77933";"Lahr";"7,860237";"48,336219";"165";"städtisches Gebiet";"Hintergrund";"";">1-10 m";"";"LAHR";"No";"";"";"";"";"";"nein";"";"";"";"8317065";"Lahr/Schwarzwald";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW068";"Gaggenau";"Luftmessstation";"";"01.10.1991";"01.10.1991";"17.11.1992";"nein";"Bismarkstraße";"";"76571";"Gaggenau";"8,305571";"48,815800";"135";"vorstädtisches Gebiet";"Verkehr";"";">1-10 m";"";"GAG";"No";"";"";"gleiche Koordinaten wie BW028 in der stat.xls u. bei Bräuniger, deshalb Koordinaten aus den Monatsberichten: 3449075, 5408935; Bismarckstr.???";"Koordinaten?";"";"nein";"";"";"";"8216015";"Gaggenau";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBW069";"Leonberg";"Luftmessstation";"";"19.11.1991";"19.11.1991";"31.08.1993";"nein";"Römer-/Berlinerstraße";"";"71229";"Leonberg";"9,016338";"48,795541";"385";"vorstädtisches Gebiet";"Hintergrund";"";">1-10 m";"";"LEO";"No";"";"";"";"";"";"nein";"";"";"";"8115028";"Leonberg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW070";"Offenburg alt";"Luftmessstation";"";"01.10.1991";"01.10.1991";"12.11.1992";"nein";"Am Unteren Mühlbach";"";"77652";"Offenburg";"7,939312";"48,474345";"149";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"OG";"No";"";"";"";"";"";"nein";"";"";"";"8317096";"Offenburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW072";"Bruchsal";"Luftmessstation";"";"01.11.1992";"01.11.1992";"23.06.1999";"nein";"Messplatz";"";"76646";"Bruchsal";"8,582829";"49,123226";"113";"städtisches Gebiet";"Hintergrund";"";">10-50 m";"";"BR";"No";"ST";"ST";"Meßplatz";"";"";"nein";"";"";"";"8215009";"Bruchsal";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW073";"Neuenburg";"Luftmessstation";"";"01.11.1992";"01.11.1992";"";"ja";"Freiburger Str.";"25 a";"79395";"Neuenburg";"7,567969";"47,819019";"223";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"Fluss:Rhein";"NEU";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8315076";"Neuenburg am Rhein";"";"";"";"";"";"Industrieprozesse (2)";"2";"3,5";"3,5";"";"k.A.";
"DEBW074";"Schramberg";"Luftmessstation";"";"01.11.1992";"01.11.1992";"02.08.1994";"nein";"Berneckstraße";"";"78713";"Schramberg";"8,386163";"48,222864";"443";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"SBG";"No";"";"";"";"";"";"nein";"";"";"";"8325053";"Schramberg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW075";"Bretten";"Luftmessstation";"";"01.11.1992";"01.11.1992";"04.10.1994";"nein";"Saarstraße";"";"75015";"Bretten";"8,713507";"49,033255";"170";"städtisches Gebiet";"Hintergrund";"";">1-10 m";"";"BN";"No";"";"";"";"";"";"nein";"";"";"";"8215007";"Bretten";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW076";"Baden-Baden";"Luftmessstation";"";"22.04.1993";"22.04.1993";"";"nein";"Aumattstraße";"";"76530";"Baden-Baden";"8,220214";"48,773072";"148";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"Fluss:Murg";"BAD";"No";"ST";"ST";"";"";"Messunterbrechung 13.04.2010 - 20.04.2011";"nein";"";"";"";"8211000";"Baden-Baden";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW077";"Ulm-Süd";"Luftmessstation";"";"01.04.1993";"01.04.1993";"04.05.1994";"nein";"Friedrichshafener Str.";"";"89079";"Ulm";"9,976550";"48,354033";"488";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"UL-S";"No";"";"";"";"";"";"nein";"";"";"";"8421000";"Ulm";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW078";"Hüttlingen";"Luftmessstation";"";"01.02.1991";"01.02.1991";"30.07.1991";"nein";"Umspannwerk Hüttl.";"";"73460";"Hüttlingen";"10,118683";"48,896219";"474";"ländlich stadtnah";"Hintergrund";"";">10-50 m";"";"HUE";"No";"";"";"keine Angaben in 12-91,   entspricht Freiburg Straße DEBW097 EU-Code an Hüttlingen";"";"";"nein";"";"";"";"8136033";"Hüttlingen";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEBW080";"Karlsruhe_Reinhold-Frank-Strasse";"Luftmessstation";"";"15.03.1994";"15.03.1994";"";"nein";"Reinhold-Frank-Straße";"27";"76133";"Karlsruhe";"8,387190";"49,007960";"119";"städtisches Gebiet";"Verkehr";"";"direkt (0-1 m)";"";"KA-STR";"No";"";"VK";"";"";"";"nein";"";"";"";"8212000";"Karlsruhe";"200";"24400";"9";"3";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBW081";"Karlsruhe-Nordwest";"Luftmessstation";"";"01.03.1985";"01.03.1985";"";"ja";"Daimlerstraße";"17";"76185";"Karlsruhe";"8,355628";"49,028594";"114";"städtisches Gebiet";"Hintergrund";"";">10-50 m";"";"KA-NW";"No";"ST";"ST";"";"";"";"ja";"01.01.2008";"";"";"8212000";"Karlsruhe";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW082";"Waldenburg";"Luftmessstation";"";"01.02.1991";"01.02.1991";"31.07.1991";"nein";"Paul Gebhard Straße";"";"74638";"Waldenburg";"9,661751";"49,201431";"330";"vorstädtisches Gebiet";"Hintergrund";"";">1-10 m";"";"WAL";"No";"";"";"keine Angaben in 12-91,   entspricht Freiburg Mitte DEBW084 EU-Code an Waldenburg";"";"";"nein";"";"";"";"8126085";"Waldenburg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
"DEBW083";"Freiburg-Nord";"Luftmessstation";"";"01.01.1987";"01.01.1987";"30.06.2000";"nein";"Karlstr./Bernhardstr.";"";"79104";"Freiburg";"7,854935";"47,999719";"260";"städtisches Gebiet";"Verkehr";"";">10-50 m";"";"FR-N";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8311000";"Freiburg im Breisgau";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBW084";"Freiburg";"Luftmessstation";"";"01.06.1979";"01.06.1979";"";"nein";"Fehrenbachallee";"11";"79106";"Freiburg";"7,832122";"48,001511";"262";"städtisches Gebiet";"Hintergrund";"";">50-100 m";"";"FR-M";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8311000";"Freiburg im Breisgau";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW085";"Albstadt";"Luftmessstation";"";"14.06.1994";"14.06.1994";"18.07.1995";"nein";"Unter den Malesfelsen";"";"72458";"Albstadt/Ebingen";"9,029800";"48,205700";"710";"vorstädtisches Gebiet";"Hintergrund";"";">1-10 m";"";"ALB";"No";"";"";"";"";"";"nein";"";"";"";"8417079";"Albstadt";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW086";"Breisach";"Luftmessstation";"";"02.08.1994";"02.08.1994";"05.09.1995";"nein";"Theodor Bachmann Platz";"";"79206";"Breisach";"7,580803";"48,027689";"190";"vorstädtisches Gebiet";"Hintergrund";"";">1-10 m";"";"BRE";"No";"";"";"";"";"";"nein";"";"";"";"8315015";"Breisach am Rhein";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW087";"Schwäbische_Alb";"Luftmessstation";"Erpfingen";"27.04.1994";"27.04.1994";"";"nein";"Sportplatz-Gelände";"";"72820";"Erpfingen";"9,207639";"48,345778";"798";"ländlich regional";"Hintergrund";"";">10-50 m";"";"ERPF";"No";"LA";"ST";"";"";"";"nein";"";"";"";"8415091";"Sonnenbühl";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"1,5";"k.A.";
"DEBW089";"Wertheim";"Luftmessstation";"";"05.10.1994";"05.10.1994";"25.10.1995";"nein";"Reichenberger Str. (Realschule)";"6";"97877";"Wertheim/Bestenheid";"9,505271";"49,779239";"147";"vorstädtisches Gebiet";"Hintergrund";"";">50-100 m";"";"WER";"No";"";"";"";"";"";"nein";"";"";"";"8128131";"Wertheim";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW090";"Nagold";"Luftmessstation";"";"24.07.1995";"24.07.1995";"09.09.1996";"nein";"Goethestraße";"";"72202";"Nagold";"8,727217";"48,547026";"398";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"NAG";"No";"";"";"";"";"";"nein";"";"";"";"8235046";"Nagold";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW091";"Titisee-Neustadt";"Luftmessstation";"";"30.10.1995";"30.10.1995";"04.12.1996";"nein";"Strandbadstraße";"";"79822";"Titisee - Neustadt";"8,144058";"47,898178";"850";"vorstädtisches Gebiet";"Hintergrund";"";">1-10 m";"";"TTN";"No";"";"ST";"";"";"";"nein";"";"";"";"8315113";"Titisee-Neustadt";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW092";"Oberhausen-Rheinhausen";"Luftmessstation";"";"05.09.1995";"05.09.1995";"07.10.1996";"nein";"Oberdorfstraße";"";"68794";"Oberhausen - Rheinhausen";"8,468807";"49,281013";"96";"vorstädtisches Gebiet";"Hintergrund";"";">1-10 m";"";"OBR";"No";"";"";"";"";"";"nein";"";"";"";"8215107";"Oberhausen-Rheinhausen";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW093";"Brühl";"Luftmessstation";"";"09.09.1996";"09.09.1996";"31.08.1999";"nein";"Am Schrankenbuckel";"";"68782";"Brühl";"8,534655";"49,403582";"100";"städtisches Gebiet";"Hintergrund";"";">50-100 m";"";"BRL";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8226009";"Brühl";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW094";"Isny";"Luftmessstation";"";"05.11.1996";"05.11.1996";"19.02.2007";"ja";"Rainstraße";"22";"88316";"Isny";"10,034746";"47,693476";"700";"vorstädtisches Gebiet";"Hintergrund";"";">10-50 m";"";"ISN";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8436049";"Isny im Allgäu";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW095";"Herrenberg";"Luftmessstation";"";"05.12.1996";"05.12.1996";"19.08.1998";"nein";"Kreissporthalle";"";"71083";"Herrenberg";"8,875299";"48,587883";"425";"vorstädtisches Gebiet";"Hintergrund";"";">200-500 m";"";"HER";"No";"ST";"ST";"";"";"";"nein";"";"";"";"8115021";"Herrenberg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"3,5";"";"k.A.";
"DEBW096";"Ulm-Straße";"Luftmessstation";"";"21.08.1996";"21.08.1996";"03.08.2003";"nein";"Zinglerstraße Martin-Luther-Kirche";"";"89077";"Ulm";"9,980065";"48,392988";"490";"städtisches Gebiet";"Verkehr";"";">10-50 m";"";"UL-STR";"No";"";"VK";"";"";"";"nein";"";"";"";"8421000";"Ulm";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBW097";"Freiburg-Straße";"Luftmessstation";"";"01.12.1993";"01.12.1993";"28.02.2007";"nein";"Friedrichsring Siegesdenkmal";"";"79104";"Freiburg";"7,852755";"47,998303";"260";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"FR-STR";"No";"";"VK";"";"";"Messungen werden eingestellt; dauerhaft betriebene Messstelle in Verkehrsnähe wird in Freiburg die Station Freiburg-Schwarzwaldstraße";"nein";"";"";"";"8311000";"Freiburg im Breisgau";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBW098";"Mannheim_Friedrichsring";"Luftmessstation";"";"28.04.1994";"28.04.1994";"";"nein";"Friedrichsring";"U2";"68161";"Mannheim";"8,472040";"49,492560";"101";"städtisches Gebiet";"Verkehr";"";"direkt (0-1 m)";"";"MA-M-STR";"No";"";"VK";"";"";"";"nein";"";"";"";"8222000";"Mannheim";"40";"36500";"4";"6";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBW099";"Stuttgart_Arnulf-Klett-Platz";"Luftmessstation";"";"06.12.1994";"06.12.1994";"";"nein";"Arnulf-Klett-Platz";"";"70173";"Stuttgart";"9,180720";"48,783130";"244";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"S-M-STR";"No";"";"VK";"";"";"";"nein";"";"";"";"8111000";"Stuttgart";"160";"53900";"18";"8";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBW100";"Stuttgart-Vaihingen-Straße";"Luftmessstation";"";"01.01.1994";"01.01.1994";"23.02.1999";"nein";"Möhringer Landstraße";"";"70563";"Stuttgart";"9,113306";"48,730066";"410";"städtisches Gebiet";"Verkehr";"";">1-10 m";"";"S-V-STR";"No";"";"VK";"";"";"";"nein";"";"";"";"8111000";"Stuttgart";"";"";"";"";"";"Verkehr (1A3)";"1A3";"3,5";"3,5";"";"k.A.";
"DEBW101";"Heidelberg Schwimmbad";"Luftmessstation";"";"01.07.1994";"01.07.1994";"06.10.2009";"nein";"Tiergarten-Freibad";"";"69121";"Heidelberg";"8,658185";"49,421366";"110";"vorstädtisches Gebiet";"Hintergrund";"";">100-200 m";"Fluss:Neckar";"HD-03";"No";"ST";"ST";"";"";"nur 4/5 bis 9/10 jährlich betrieben im Auftrag der Stadt Heidelberg";"nein";"";"";"";"8221000";"Heidelberg";"";"";"";"";"";"keine Emissionen (no)";"no";"3,5";"";"";"k.A.";
